2020-04-07 20:24:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:25:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:25:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:26:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:26:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:27:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:27:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:28:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:28:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:29:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:29:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:30:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:30:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:31:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:31:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:32:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:32:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:33:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:33:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:34:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:34:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:35:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:35:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:36:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:36:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:37:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:37:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:38:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:38:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-07 20:39:20, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-08 17:21:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	145.05475772, 	0.1836, 	1724.107, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:21:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	145.05475772, 	0.1836, 	1724.107, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:22:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	145.05475772, 	0.1836, 	1724.107, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:22:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	145.05475772, 	0.1836, 	1724.107, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:22:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	145.05475772, 	0.1836, 	1724.107, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:22:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	133.78987308, 	0.1836, 	1724.107, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:23:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	122.61678792, 	0.1836, 	1724.107, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:23:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	122.61678792, 	0.1836, 	1724.107, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:23:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	122.61678792, 	0.1836, 	1724.107, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:23:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	122.61678792, 	0.1836, 	1724.107, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:24:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	122.61678792, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:24:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	122.61678792, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:24:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	122.61678792, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:24:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	122.61678792, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:25:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	122.61678792, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:25:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	122.61678792, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:25:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	111.36002461, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:25:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	100.1949946, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:26:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	100.1949946, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
