2020-04-09 11:30:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.00257, 	57830.8435, 	1.011673%, 	0.350000%, 	0.661673%
2020-04-09 11:30:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.00257, 	57830.8435, 	1.011673%, 	0.350000%, 	0.661673%
2020-04-09 11:30:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.00257, 	46506.7393, 	1.011673%, 	0.350000%, 	0.661673%
2020-04-09 11:31:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.00257, 	59601.6995, 	1.011673%, 	0.350000%, 	0.661673%
2020-04-09 11:31:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.00257, 	59601.6995, 	1.011673%, 	0.350000%, 	0.661673%
2020-04-09 11:31:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.00257, 	55887.3299, 	1.011673%, 	0.350000%, 	0.661673%
2020-04-09 11:31:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:32:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	12150.0, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 11:32:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:32:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:32:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:33:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:33:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:33:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
