2020-04-08 18:25:35, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	10.206, 	5.833, 	10.0, 	0.822904%, 	0.760000%, 	0.062904%
2020-04-08 18:25:50, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	10.206, 	5.833, 	10.0, 	0.822904%, 	0.760000%, 	0.062904%
2020-04-08 18:26:05, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	10.206, 	5.83, 	1.96911184, 	0.874786%, 	0.760000%, 	0.114786%
2020-04-08 18:26:20, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	10.206, 	5.831, 	10.0, 	0.857486%, 	0.760000%, 	0.097486%
2020-04-08 18:26:35, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	10.206, 	5.827, 	1.96911184, 	0.926720%, 	0.760000%, 	0.166720%
2020-04-08 18:26:50, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	10.206, 	5.826, 	16.06976592, 	0.944044%, 	0.760000%, 	0.184044%
2020-04-08 18:27:05, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	10.206, 	5.825, 	1.96911184, 	0.961373%, 	0.760000%, 	0.201373%
2020-04-08 18:27:20, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	10.206, 	5.82, 	10.0, 	1.048110%, 	0.760000%, 	0.288110%
2020-04-08 18:27:35, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.819, 	1.90128997, 	1.065475%, 	0.760000%, 	0.305475%
2020-04-08 18:27:50, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.822, 	10.0, 	1.013397%, 	0.760000%, 	0.253397%
2020-04-08 18:28:05, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.821, 	10.0, 	1.030751%, 	0.760000%, 	0.270751%
2020-04-08 18:28:20, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.819, 	10.0, 	1.065475%, 	0.760000%, 	0.305475%
2020-04-08 18:28:35, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.809, 	10.0, 	1.239456%, 	0.760000%, 	0.479456%
2020-04-08 18:28:50, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.812, 	10.0, 	1.187199%, 	0.760000%, 	0.427199%
2020-04-08 18:29:05, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.814, 	4.56, 	1.152391%, 	0.760000%, 	0.392391%
2020-04-08 18:29:20, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.812, 	125.77583378, 	1.187199%, 	0.760000%, 	0.427199%
2020-04-08 18:29:35, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.817, 	125.62942107, 	1.100223%, 	0.760000%, 	0.340223%
2020-04-08 18:29:50, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.816, 	14.10065408, 	1.117607%, 	0.760000%, 	0.357607%
2020-04-08 18:30:05, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.812, 	21.40008853, 	1.187199%, 	0.760000%, 	0.427199%
2020-04-08 18:30:20, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.821, 	22.68, 	1.030751%, 	0.760000%, 	0.270751%
2020-04-08 18:30:35, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.822, 	125.49144845, 	1.013397%, 	0.760000%, 	0.253397%
2020-04-08 18:30:50, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.825, 	149.55569523, 	0.961373%, 	0.760000%, 	0.201373%
2020-04-08 18:31:05, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.825, 	208.27366798, 	0.961373%, 	0.760000%, 	0.201373%
2020-04-08 18:31:20, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	0.001, 	5.825, 	208.262091, 	0.961373%, 	0.760000%, 	0.201373%
2020-04-08 18:31:35, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.871, 	89.868, 	5.825, 	208.262091, 	0.789700%, 	0.760000%, 	0.029700%
2020-04-08 18:31:50, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.871, 	10.235, 	5.823, 	12.1134187, 	0.824317%, 	0.760000%, 	0.064317%
2020-04-08 18:32:05, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.871, 	79.461, 	5.823, 	10.0, 	0.824317%, 	0.760000%, 	0.064317%
2020-04-08 18:32:20, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.867, 	60.102, 	5.822, 	151.90442705, 	0.772930%, 	0.760000%, 	0.012930%
2020-04-08 18:32:35, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.871, 	60.061, 	5.819, 	169.89036995, 	0.893624%, 	0.760000%, 	0.133624%
2020-04-08 18:32:50, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.867, 	78.502, 	5.812, 	20.26, 	0.946318%, 	0.760000%, 	0.186318%
2020-04-08 18:33:05, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.867, 	78.502, 	5.813, 	149.9525377, 	0.928952%, 	0.760000%, 	0.168952%
2020-04-08 18:33:20, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.867, 	60.102, 	5.81, 	14.10065408, 	0.981067%, 	0.760000%, 	0.221067%
2020-04-08 18:33:35, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.867, 	60.102, 	5.809, 	1041.8, 	0.998451%, 	0.760000%, 	0.238451%
2020-04-08 18:33:51, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.867, 	70.307, 	5.81, 	125.84911221, 	0.981067%, 	0.760000%, 	0.221067%
2020-04-08 18:34:06, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.867, 	70.307, 	5.812, 	4.59, 	0.946318%, 	0.760000%, 	0.186318%
2020-04-08 18:34:21, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.867, 	70.307, 	5.812, 	130.24075699, 	0.946318%, 	0.760000%, 	0.186318%
2020-04-08 18:34:36, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.807, 	24.10065408, 	1.050456%, 	0.760000%, 	0.290456%
2020-04-08 18:34:51, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.798, 	140.10831096, 	1.207313%, 	0.760000%, 	0.447313%
