2020-04-08 19:34:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	280.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:34:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	280.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:34:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	280.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:34:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	280.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:35:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	280.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:35:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	280.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:35:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	280.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:35:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	280.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:36:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:36:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:36:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:36:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:37:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:37:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:37:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:37:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:38:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:38:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:38:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:38:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:39:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:39:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:39:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:39:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:40:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:40:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	601.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:40:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	280.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:40:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	293.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:41:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:41:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:41:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:41:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:42:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:42:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:42:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:42:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:43:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:43:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:43:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:43:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:44:07, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:44:22, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:44:37, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.406e-05, 	703.0, 	0.355619%, 	0.190000%, 	0.165619%
2020-04-08 19:44:52, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	13.2676, 	1.409e-05, 	8691.0, 	0.141945%, 	0.190000%, 	-0.048055%
2020-04-09 03:47:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:47:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:47:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:48:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:48:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:48:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:48:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:49:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:49:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:49:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:49:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
