2020-04-10 07:54:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	194877.0, 	4.767e-07, 	6300.0, 	0.692259%, 	0.350000%, 	0.342259%
2020-04-10 07:54:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	188677.0, 	4.765e-07, 	22800.0, 	0.734523%, 	0.350000%, 	0.384523%
2020-04-10 07:54:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.765e-07, 	6300.0, 	0.734523%, 	0.350000%, 	0.384523%
2020-04-10 07:54:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.765e-07, 	6300.0, 	0.734523%, 	0.350000%, 	0.384523%
2020-04-10 07:55:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.765e-07, 	6300.0, 	0.734523%, 	0.350000%, 	0.384523%
2020-04-10 07:55:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.765e-07, 	6300.0, 	0.734523%, 	0.350000%, 	0.384523%
2020-04-10 07:55:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.764e-07, 	6300.0, 	0.755668%, 	0.350000%, 	0.405668%
2020-04-10 07:55:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.768e-07, 	6300.0, 	0.671141%, 	0.350000%, 	0.321141%
2020-04-10 07:56:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.766e-07, 	6300.0, 	0.713386%, 	0.350000%, 	0.363386%
2020-04-10 07:56:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.766e-07, 	6300.0, 	0.713386%, 	0.350000%, 	0.363386%
2020-04-10 07:56:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.764e-07, 	6300.0, 	0.755668%, 	0.350000%, 	0.405668%
2020-04-10 07:56:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.764e-07, 	6300.0, 	0.755668%, 	0.350000%, 	0.405668%
2020-04-10 07:57:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.762e-07, 	10400.0, 	0.797984%, 	0.350000%, 	0.447984%
2020-04-10 07:57:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.762e-07, 	6300.0, 	0.797984%, 	0.350000%, 	0.447984%
2020-04-10 07:57:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.766e-07, 	6300.0, 	0.713386%, 	0.350000%, 	0.363386%
2020-04-10 07:57:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.766e-07, 	6300.0, 	0.713386%, 	0.350000%, 	0.363386%
2020-04-10 07:58:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.766e-07, 	6300.0, 	0.713386%, 	0.350000%, 	0.363386%
2020-04-10 07:58:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.765e-07, 	6300.0, 	0.734523%, 	0.350000%, 	0.384523%
2020-04-10 07:58:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.765e-07, 	100610.62, 	0.734523%, 	0.350000%, 	0.384523%
2020-04-10 07:58:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.766e-07, 	10400.0, 	0.713386%, 	0.350000%, 	0.363386%
2020-04-10 07:59:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.766e-07, 	6300.0, 	0.713386%, 	0.350000%, 	0.363386%
2020-04-10 07:59:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.765e-07, 	90210.62, 	0.734523%, 	0.350000%, 	0.384523%
2020-04-10 07:59:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.764e-07, 	10000.0, 	0.755668%, 	0.350000%, 	0.405668%
2020-04-10 07:59:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.766e-07, 	6300.0, 	0.713386%, 	0.350000%, 	0.363386%
2020-04-10 08:00:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.762e-07, 	12400.0, 	0.797984%, 	0.350000%, 	0.447984%
2020-04-10 08:00:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.764e-07, 	12400.0, 	0.755668%, 	0.350000%, 	0.405668%
2020-04-10 08:00:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.764e-07, 	10200.0, 	0.755668%, 	0.350000%, 	0.405668%
2020-04-10 08:00:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.761e-07, 	12400.0, 	0.819156%, 	0.350000%, 	0.469156%
2020-04-10 08:01:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.762e-07, 	416768.05, 	0.797984%, 	0.350000%, 	0.447984%
2020-04-10 08:01:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.761e-07, 	6300.0, 	0.819156%, 	0.350000%, 	0.469156%
2020-04-10 08:01:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.761e-07, 	6300.0, 	0.819156%, 	0.350000%, 	0.469156%
2020-04-10 08:01:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.759e-07, 	3400.0, 	0.861526%, 	0.350000%, 	0.511526%
2020-04-10 08:02:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.758e-07, 	12400.0, 	0.882724%, 	0.350000%, 	0.532724%
2020-04-10 08:02:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.758e-07, 	6300.0, 	0.882724%, 	0.350000%, 	0.532724%
2020-04-10 08:02:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.759e-07, 	289300.0, 	0.861526%, 	0.350000%, 	0.511526%
2020-04-10 08:02:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.759e-07, 	289300.0, 	0.861526%, 	0.350000%, 	0.511526%
2020-04-10 08:03:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	49964.7780648, 	4.758e-07, 	91728.11, 	0.882724%, 	0.350000%, 	0.532724%
2020-04-10 08:03:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	49964.7780648, 	4.758e-07, 	268853.99, 	0.882724%, 	0.350000%, 	0.532724%
2020-04-10 08:03:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.756e-07, 	280937.01, 	0.925147%, 	0.350000%, 	0.575147%
2020-04-10 08:03:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.751e-07, 	286700.0, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:04:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.751e-07, 	364921.84, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:04:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.759e-07, 	329763.72, 	0.861526%, 	0.350000%, 	0.511526%
2020-04-10 08:04:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.751e-07, 	616600.32, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:04:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.747e-07, 	256155.0, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:05:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.769e-07, 	376622.18, 	0.650031%, 	0.350000%, 	0.300031%
2020-04-10 08:05:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.756e-07, 	173803.13, 	0.925147%, 	0.350000%, 	0.575147%
2020-04-10 08:05:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.752e-07, 	181609.85, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-10 08:05:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.751e-07, 	298792.86, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:06:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.75e-07, 	89692.86, 	1.052632%, 	0.350000%, 	0.702632%
2020-04-10 08:06:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.749e-07, 	20055.0, 	1.073910%, 	0.350000%, 	0.723910%
2020-04-10 08:06:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.749e-07, 	3900.0, 	1.073910%, 	0.350000%, 	0.723910%
2020-04-10 08:06:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.748e-07, 	71860.63, 	1.095198%, 	0.350000%, 	0.745198%
2020-04-10 08:07:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.747e-07, 	16100.0, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:07:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.747e-07, 	12400.0, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:07:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.745e-07, 	21800.0, 	1.159115%, 	0.350000%, 	0.809115%
