2020-04-07 23:23:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	170778.1, 	0.00477, 	42816.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:24:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	170778.1, 	0.00476, 	42816.8, 	99.579832%, 	0.250000%, 	99.329832%
2020-04-07 23:24:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	166407.4, 	0.00476, 	42816.8, 	99.579832%, 	0.250000%, 	99.329832%
2020-04-07 23:25:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	166407.4, 	0.00476, 	42816.8, 	99.579832%, 	0.250000%, 	99.329832%
2020-04-07 23:25:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	171460.1, 	0.00476, 	42816.8, 	99.579832%, 	0.250000%, 	99.329832%
2020-04-07 23:26:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	38822.3, 	0.00476, 	42816.8, 	99.579832%, 	0.250000%, 	99.329832%
2020-04-07 23:26:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	38822.3, 	0.00476, 	42816.8, 	99.579832%, 	0.250000%, 	99.329832%
2020-04-07 23:27:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	38822.3, 	0.00476, 	42816.8, 	99.579832%, 	0.250000%, 	99.329832%
2020-04-07 23:27:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	38904.3, 	0.00476, 	56994.0, 	99.579832%, 	0.250000%, 	99.329832%
2020-04-07 23:28:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	166464.5, 	0.00476, 	56994.0, 	99.579832%, 	0.250000%, 	99.329832%
2020-04-07 23:28:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	38740.5, 	0.00476, 	56994.0, 	99.579832%, 	0.250000%, 	99.329832%
2020-04-07 23:29:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	12613.5, 	0.00485, 	87627.8, 	95.876289%, 	0.250000%, 	95.626289%
2020-04-07 23:29:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	14381.5, 	0.00485, 	97910.5, 	95.876289%, 	0.250000%, 	95.626289%
2020-04-07 23:30:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	3962.0, 	0.00481, 	43805.8, 	97.505198%, 	0.250000%, 	97.255198%
2020-04-07 23:30:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	5633.0, 	0.00479, 	43805.8, 	98.329854%, 	0.250000%, 	98.079854%
2020-04-07 23:31:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	25933.1, 	0.00479, 	43805.8, 	98.329854%, 	0.250000%, 	98.079854%
2020-04-07 23:31:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	5641.0, 	0.00479, 	43805.8, 	98.329854%, 	0.250000%, 	98.079854%
2020-04-07 23:32:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	11282.0, 	0.00479, 	43805.8, 	98.329854%, 	0.250000%, 	98.079854%
2020-04-07 23:32:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	92188.1, 	0.00479, 	43805.8, 	98.329854%, 	0.250000%, 	98.079854%
2020-04-07 23:33:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	22681.0, 	0.00478, 	10398.5, 	98.744770%, 	0.250000%, 	98.494770%
2020-04-07 23:33:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	32349.2, 	0.00479, 	43805.8, 	98.329854%, 	0.250000%, 	98.079854%
2020-04-07 23:34:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	106720.0, 	0.00479, 	43805.8, 	98.329854%, 	0.250000%, 	98.079854%
2020-04-07 23:34:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00479, 	43805.8, 	98.329854%, 	0.250000%, 	98.079854%
2020-04-07 23:35:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:35:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	73901.3, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:36:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	73901.3, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:36:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188023.5, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:37:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188023.5, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:37:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	73901.3, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:38:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	73901.3, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
