2020-04-08 15:05:03, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000773, 	0.19530996, 	0.00076988, 	80.0, 	0.405258%, 	0.350000%, 	0.055258%
2020-04-08 15:05:18, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000773, 	0.19530996, 	0.00076974, 	90.83056919, 	0.423520%, 	0.350000%, 	0.073520%
2020-04-08 15:05:33, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000773, 	80.0, 	0.00077067, 	188.06892919, 	0.302334%, 	0.350000%, 	-0.047666%
2020-04-08 18:16:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000803, 	45.388, 	0.00079801, 	98.16652792, 	0.625305%, 	0.350000%, 	0.275305%
2020-04-08 18:16:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000802, 	166.867, 	0.00079801, 	98.16652792, 	0.499994%, 	0.350000%, 	0.149994%
2020-04-08 18:16:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000803, 	45.388, 	0.00079792, 	104.497397, 	0.636655%, 	0.350000%, 	0.286655%
2020-04-08 18:16:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000802, 	15.867, 	0.00079771, 	104.497397, 	0.537789%, 	0.350000%, 	0.187789%
2020-04-08 18:17:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000802, 	61.311, 	0.00079754, 	97.83188, 	0.559220%, 	0.350000%, 	0.209220%
2020-04-08 18:17:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000802, 	61.311, 	0.00079733, 	201.933597, 	0.585705%, 	0.350000%, 	0.235705%
2020-04-08 18:17:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000805, 	50.0, 	0.00079726, 	235.574427, 	0.970825%, 	0.350000%, 	0.620825%
2020-04-08 18:17:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000809, 	3.59, 	0.00079707, 	104.497397, 	1.496732%, 	0.350000%, 	1.146732%
2020-04-08 18:18:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000806, 	45.219, 	0.00079699, 	104.497397, 	1.130504%, 	0.350000%, 	0.780504%
2020-04-08 18:18:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000804, 	0.957, 	0.00079683, 	97.04052, 	0.899816%, 	0.350000%, 	0.549816%
2020-04-08 18:18:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000804, 	0.957, 	0.00079655, 	348.7892233, 	0.935283%, 	0.350000%, 	0.585283%
2020-04-08 18:18:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000804, 	0.957, 	0.00079626, 	251.72578384, 	0.972044%, 	0.350000%, 	0.622044%
2020-04-08 18:19:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000804, 	0.957, 	0.0007959, 	97.4362, 	1.017716%, 	0.350000%, 	0.667716%
2020-04-08 18:19:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000805, 	45.275, 	0.00079585, 	97.04029449, 	1.149714%, 	0.350000%, 	0.799714%
2020-04-08 18:19:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000805, 	45.275, 	0.00079583, 	97.33728, 	1.152256%, 	0.350000%, 	0.802256%
2020-04-08 18:19:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000805, 	45.275, 	0.00079726, 	3.59, 	0.970825%, 	0.350000%, 	0.620825%
2020-04-08 18:20:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000805, 	45.275, 	0.00079683, 	98.72216, 	1.025313%, 	0.350000%, 	0.675313%
2020-04-08 18:20:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000804, 	31.157, 	0.00079665, 	251.51726587, 	0.922613%, 	0.350000%, 	0.572613%
2020-04-08 18:20:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000805, 	45.275, 	0.00079646, 	98.52432, 	1.072245%, 	0.350000%, 	0.722245%
2020-04-08 18:20:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000805, 	22.928, 	0.00079629, 	98.4254, 	1.093823%, 	0.350000%, 	0.743823%
2020-04-08 18:21:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000805, 	1.928, 	0.00079627, 	97.73296, 	1.096362%, 	0.350000%, 	0.746362%
2020-04-08 18:21:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000804, 	31.157, 	0.00079623, 	97.23836, 	0.975849%, 	0.350000%, 	0.625849%
2020-04-08 18:21:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	46.231, 	0.00079619, 	98.72216, 	0.604127%, 	0.350000%, 	0.254127%
2020-04-08 18:21:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	50.4, 	0.00079605, 	97.73296, 	0.621820%, 	0.350000%, 	0.271820%
2020-04-08 18:22:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079573, 	98.02972, 	0.662285%, 	0.350000%, 	0.312285%
