2020-04-10 16:30:38, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	2960.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:30:53, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	2766.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:31:08, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	15672.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:31:23, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	4920.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:31:38, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	1281.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:31:53, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	1281.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:32:08, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	164647.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:32:23, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	165678.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:32:38, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	3531.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:32:53, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	3531.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:33:08, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	126193.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:33:23, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	30210.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:33:38, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	40.8817, 	2.35e-06, 	22967.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:33:53, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	193137.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:34:08, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	40.8843, 	2.35e-06, 	154183.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:34:23, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	161780.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:34:38, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	184938.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:34:53, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	40.8843, 	2.35e-06, 	184583.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:35:08, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	40.8843, 	2.35e-06, 	203732.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:35:23, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.37e-06, 	38.8011, 	2.35e-06, 	167453.0, 	0.851064%, 	0.250000%, 	0.601064%
2020-04-10 16:35:38, 	OKEX        , 	Binance     , 	RVN/BTC, 	2.34e-06, 	48.3297, 	2.35e-06, 	414394.0, 	-0.425532%, 	0.250000%, 	-0.675532%
