2020-04-07 23:05:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	243.44047829, 	2.22e-06, 	52.08870939, 	0.900901%, 	0.190000%, 	0.710901%
2020-04-07 23:05:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	8402.63231872, 	2.22e-06, 	52.08870939, 	0.900901%, 	0.190000%, 	0.710901%
2020-04-07 23:06:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	8402.63231872, 	2.22e-06, 	52.08870939, 	0.900901%, 	0.190000%, 	0.710901%
2020-04-07 23:06:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	8402.63231872, 	2.22e-06, 	52.08870939, 	0.900901%, 	0.190000%, 	0.710901%
2020-04-07 23:07:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	243.44047829, 	2.22e-06, 	52.08870939, 	0.900901%, 	0.190000%, 	0.710901%
2020-04-07 23:07:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	243.44047829, 	2.22e-06, 	52.08870939, 	0.900901%, 	0.190000%, 	0.710901%
2020-04-07 23:08:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7841.92048159, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:08:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	52.2851616, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:09:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	52.2851616, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:09:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	52.2851616, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:10:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	52.2851616, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:10:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	52.2851616, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:11:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7695.28790769, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:11:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7548.64434341, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:12:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7990.32820451, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:12:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7990.32820451, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:13:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7852.21656198, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
