2020-04-07 20:23:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.82e-05, 	661.0, 	3.792e-05, 	2662.63838152, 	0.738397%, 	0.350000%, 	0.388397%
2020-04-07 20:24:18, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.82e-05, 	369.292, 	3.794e-05, 	2662.63838152, 	0.685293%, 	0.350000%, 	0.335293%
2020-04-07 20:24:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.794e-05, 	2662.63838152, 	0.711650%, 	0.350000%, 	0.361650%
2020-04-07 20:25:18, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.796e-05, 	28.03458786, 	0.658588%, 	0.350000%, 	0.308588%
2020-04-07 20:25:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.801e-05, 	28.03458786, 	0.526177%, 	0.350000%, 	0.176177%
2020-04-07 20:26:18, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.801e-05, 	28.03458786, 	0.526177%, 	0.350000%, 	0.176177%
2020-04-07 20:26:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:27:18, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:27:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:28:18, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:28:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:29:18, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.797e-05, 	28.03458786, 	0.632078%, 	0.350000%, 	0.282078%
2020-04-07 20:29:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.797e-05, 	28.03458786, 	0.632078%, 	0.350000%, 	0.282078%
2020-04-07 20:30:18, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.797e-05, 	2660.92232172, 	0.632078%, 	0.350000%, 	0.282078%
2020-04-07 20:30:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:31:18, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:31:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:32:18, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:32:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:33:18, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	28.03458786, 	0.579100%, 	0.350000%, 	0.229100%
