2020-04-09 07:48:26, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:48:41, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:48:56, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:49:11, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:49:26, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:49:41, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:49:56, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:50:11, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:50:26, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:50:41, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:50:56, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.363, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:51:11, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	1.798, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:51:26, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	1.798, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:51:41, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.139, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:51:56, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.139, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:52:11, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.139, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:52:26, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.139, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:52:41, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.139, 	6.92e-05, 	3.429, 	0.722543%, 	0.240000%, 	0.482543%
2020-04-09 07:52:56, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	6.97e-05, 	0.139, 	6.957e-05, 	1.529136, 	0.186862%, 	0.240000%, 	-0.053138%
2020-04-09 10:35:46, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	7.04e-05, 	4.26, 	7.012e-05, 	1.529136, 	0.399315%, 	0.240000%, 	0.159315%
2020-04-09 10:36:01, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	7.04e-05, 	3.194, 	7.012e-05, 	1.529136, 	0.399315%, 	0.240000%, 	0.159315%
2020-04-09 10:36:16, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	7.04e-05, 	3.194, 	7.012e-05, 	1.529136, 	0.399315%, 	0.240000%, 	0.159315%
2020-04-09 10:36:31, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	7.04e-05, 	3.194, 	7.012e-05, 	1.529136, 	0.399315%, 	0.240000%, 	0.159315%
2020-04-09 10:36:46, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	7.04e-05, 	3.194, 	7.012e-05, 	1.529136, 	0.399315%, 	0.240000%, 	0.159315%
2020-04-09 10:37:01, 	OKEX        , 	Poloniex    , 	KNC/BTC, 	7.04e-05, 	3.194, 	7.012e-05, 	1.529136, 	0.399315%, 	0.240000%, 	0.159315%
