2020-04-08 17:59:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	383.44, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:00:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	383.44, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:00:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	651.98, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:00:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	651.98, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:00:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	601.8, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:01:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	601.8, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:01:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	579.45, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:01:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	579.45, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:01:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	579.45, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:02:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	579.45, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:02:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	578.13, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:02:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	578.13, 	0.00015951, 	2.04665056, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:02:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	578.13, 	0.00015951, 	2.7283591, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:03:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	578.13, 	0.00015951, 	2.7283591, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:03:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	578.13, 	0.00015951, 	2.7283591, 	0.244499%, 	0.190000%, 	0.054499%
