2020-04-08 15:14:48, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.971e-05, 	510.0, 	3.955e-05, 	5.57206171, 	0.404551%, 	0.190000%, 	0.214551%
2020-04-08 15:15:03, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.971e-05, 	510.0, 	3.955e-05, 	5.57206171, 	0.404551%, 	0.190000%, 	0.214551%
2020-04-08 15:15:18, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.971e-05, 	510.0, 	3.955e-05, 	5.57206171, 	0.404551%, 	0.190000%, 	0.214551%
2020-04-08 15:15:33, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.971e-05, 	510.0, 	3.955e-05, 	5.57206171, 	0.404551%, 	0.190000%, 	0.214551%
2020-04-08 15:15:48, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.971e-05, 	510.0, 	3.955e-05, 	5.57206171, 	0.404551%, 	0.190000%, 	0.214551%
2020-04-08 15:16:03, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.959e-05, 	352.0, 	3.955e-05, 	5.57206171, 	0.101138%, 	0.190000%, 	-0.088862%
2020-04-08 20:14:26, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.883e-05, 	10.0, 	3.872e-05, 	10.16722927, 	0.284091%, 	0.190000%, 	0.094091%
2020-04-08 20:14:41, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.883e-05, 	10.0, 	3.872e-05, 	10.16722927, 	0.284091%, 	0.190000%, 	0.094091%
2020-04-08 20:14:56, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.883e-05, 	10.0, 	3.872e-05, 	10.16722927, 	0.284091%, 	0.190000%, 	0.094091%
2020-04-08 20:15:11, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:15:26, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:15:41, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:15:56, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:16:11, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:16:26, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:16:41, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:16:56, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:17:11, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:17:26, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:17:41, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:17:56, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:18:11, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:18:26, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:18:41, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:18:56, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.885e-05, 	19.0, 	3.872e-05, 	10.16722927, 	0.335744%, 	0.190000%, 	0.145744%
2020-04-08 20:19:11, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.878e-05, 	17.0, 	3.872e-05, 	10.16722927, 	0.154959%, 	0.190000%, 	-0.035041%
2020-04-08 20:19:56, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.886e-05, 	75.0, 	3.872e-05, 	10.16722927, 	0.361570%, 	0.190000%, 	0.171570%
2020-04-08 20:20:11, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.878e-05, 	8083.0, 	3.872e-05, 	10.16722927, 	0.154959%, 	0.190000%, 	-0.035041%
