2020-04-10 10:13:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.783e-05, 	503.0, 	0.486510%, 	0.190000%, 	0.296510%
2020-04-10 10:13:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.783e-05, 	503.0, 	0.486510%, 	0.190000%, 	0.296510%
2020-04-10 10:13:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.783e-05, 	503.0, 	0.486510%, 	0.190000%, 	0.296510%
2020-04-10 10:13:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.783e-05, 	503.0, 	0.486510%, 	0.190000%, 	0.296510%
2020-04-10 10:14:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.783e-05, 	503.0, 	0.486510%, 	0.190000%, 	0.296510%
2020-04-10 10:14:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.783e-05, 	503.0, 	0.486510%, 	0.190000%, 	0.296510%
2020-04-10 10:14:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.783e-05, 	503.0, 	0.486510%, 	0.190000%, 	0.296510%
2020-04-10 10:14:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.782e-05, 	300.0, 	0.501327%, 	0.190000%, 	0.311327%
2020-04-10 10:15:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.781e-05, 	3.0, 	0.516148%, 	0.190000%, 	0.326148%
2020-04-10 10:15:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.781e-05, 	3.0, 	0.516148%, 	0.190000%, 	0.326148%
2020-04-10 10:15:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.781e-05, 	3.0, 	0.516148%, 	0.190000%, 	0.326148%
2020-04-10 10:15:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.781e-05, 	3.0, 	0.516148%, 	0.190000%, 	0.326148%
2020-04-10 10:16:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.781e-05, 	3.0, 	0.516148%, 	0.190000%, 	0.326148%
2020-04-10 10:16:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.781e-05, 	3.0, 	0.516148%, 	0.190000%, 	0.326148%
2020-04-10 10:16:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.781e-05, 	3.0, 	0.516148%, 	0.190000%, 	0.326148%
