2020-04-08 18:22:59, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.88, 	78.529, 	5.8365, 	800.0, 	0.745310%, 	0.460000%, 	0.285310%
2020-04-08 18:23:14, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.88, 	78.529, 	5.8438, 	86.24544698, 	0.619460%, 	0.460000%, 	0.159460%
2020-04-08 18:23:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.88, 	78.529, 	5.8427, 	544.64544698, 	0.638403%, 	0.460000%, 	0.178403%
2020-04-08 18:23:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.88, 	78.529, 	5.8387, 	72.25999379, 	0.707349%, 	0.460000%, 	0.247349%
2020-04-08 18:24:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.88, 	88.734, 	5.8364, 	81.63134818, 	0.747036%, 	0.460000%, 	0.287036%
2020-04-08 18:24:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.88, 	58.972, 	5.8337, 	73.84143498, 	0.793664%, 	0.460000%, 	0.333664%
2020-04-08 18:24:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.88, 	58.972, 	5.8308, 	37.6, 	0.843795%, 	0.460000%, 	0.383795%
2020-04-08 18:24:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.88, 	10.206, 	5.8283, 	300.0, 	0.887051%, 	0.460000%, 	0.427051%
2020-04-08 18:25:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.881, 	70.164, 	5.8336, 	54.78092944, 	0.812534%, 	0.460000%, 	0.352534%
2020-04-08 18:25:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.881, 	70.164, 	5.8313, 	65.58826277, 	0.852297%, 	0.460000%, 	0.392297%
2020-04-08 18:25:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.881, 	70.164, 	5.8336, 	49.87557961, 	0.812534%, 	0.460000%, 	0.352534%
