2020-04-09 09:20:59, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:21:14, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:21:29, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:21:44, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:21:59, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:22:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:22:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:22:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:23:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:23:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:23:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:23:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:24:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	6923.77, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:24:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	5789.28, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:24:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	5789.28, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:24:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	7239.28, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:25:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:25:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:25:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	6999.8, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:25:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:26:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:26:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	6999.8, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:26:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	6999.8, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:26:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:27:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:27:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:27:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:27:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:28:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	6999.8, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:28:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	6999.8, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:28:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:28:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:29:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	5000.0, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:29:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	4786.45, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:29:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	1450.0, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:29:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	1450.0, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:30:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:30:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:30:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:30:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:31:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:31:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:31:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:31:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:32:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:32:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:32:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:32:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5882.93, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:33:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5882.93, 	0.218321%, 	0.190000%, 	0.028321%
