2020-04-08 17:57:13, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.834, 	0.3, 	5.793, 	5.0, 	0.707751%, 	0.510000%, 	0.197751%
2020-04-08 17:57:28, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.834, 	0.3, 	5.793, 	5.0, 	0.707751%, 	0.510000%, 	0.197751%
2020-04-08 17:57:43, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.834, 	0.3, 	5.792, 	5.0, 	0.725138%, 	0.510000%, 	0.215138%
2020-04-08 17:57:58, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.834, 	0.3, 	5.79399, 	66.113, 	0.690543%, 	0.510000%, 	0.180543%
2020-04-08 17:58:13, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.834, 	0.3, 	5.79399, 	66.113, 	0.690543%, 	0.510000%, 	0.180543%
2020-04-08 17:58:28, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.834, 	0.3, 	5.79998, 	65.944, 	0.586554%, 	0.510000%, 	0.076554%
2020-04-08 17:58:43, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.803, 	20.9, 	5.79995, 	65.959, 	0.052587%, 	0.510000%, 	-0.457413%
2020-04-08 18:47:16, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.864, 	10.231, 	5.80598, 	64.854, 	0.999314%, 	0.510000%, 	0.489314%
2020-04-08 18:47:31, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.864, 	10.231, 	5.80598, 	64.854, 	0.999314%, 	0.510000%, 	0.489314%
2020-04-08 18:47:46, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.864, 	10.231, 	5.80598, 	64.854, 	0.999314%, 	0.510000%, 	0.489314%
2020-04-08 18:48:01, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.864, 	10.231, 	5.805, 	3.93392676, 	1.016365%, 	0.510000%, 	0.506365%
2020-04-08 18:48:16, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.865, 	60.122, 	5.805, 	3.93392676, 	1.033592%, 	0.510000%, 	0.523592%
2020-04-08 18:48:31, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.865, 	10.231, 	5.801, 	3.93392676, 	1.103258%, 	0.510000%, 	0.593258%
