2020-04-07 20:18:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	62659.2528698, 	1.33e-06, 	101591.69312262, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:19:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	66535.22186205, 	1.33e-06, 	101591.69312262, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:19:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	66535.22186205, 	1.33e-06, 	101591.69312262, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:20:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	66535.22186205, 	1.33e-06, 	101591.69312262, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:20:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	66535.22186205, 	1.33e-06, 	101591.69312262, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:21:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2889.93794583, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:21:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2889.93794583, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:22:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2889.93794583, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:22:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2972.06982543, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:23:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2972.06982543, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:23:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2972.06982543, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:24:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2972.06982543, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:24:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2972.06982543, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:25:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2972.06982543, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:25:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2972.06982543, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
