2020-04-08 19:38:19, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.709e-05, 	1547462.041901, 	8.69e-05, 	164578.0, 	0.218642%, 	0.190000%, 	0.028642%
2020-04-08 19:38:34, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.638e-05, 	1558645.5262683, 	8.69e-05, 	164578.0, 	-0.598389%, 	0.190000%, 	-0.788389%
2020-04-08 19:43:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.691e-05, 	1548683.1537696, 	8.68e-05, 	2458218.0, 	0.126728%, 	0.190000%, 	-0.063272%
2020-04-08 23:54:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	14410375.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-08 23:54:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	3040405.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-08 23:54:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	3040405.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-08 23:55:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	14410375.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-08 23:55:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	164163.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-08 23:55:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	164163.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-08 23:55:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	298687.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-08 23:56:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	298687.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-08 23:56:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	298687.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-08 23:56:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	298687.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-08 23:56:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	405712.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-08 23:57:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	14410375.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-08 23:57:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	14410375.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-08 23:57:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	3045113.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-08 23:57:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	50556.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-08 23:58:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	2991827.0, 	0.801833%, 	0.190000%, 	0.611833%
