2020-04-07 22:00:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	0.960521, 	6536.3, 	0.816177, 	0.668574%, 	0.360000%, 	0.308574%
2020-04-07 22:00:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	0.960521, 	6532.5, 	0.816177, 	0.727134%, 	0.360000%, 	0.367134%
2020-04-07 22:01:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.068149, 	6528.6, 	0.883583, 	0.787305%, 	0.360000%, 	0.427305%
2020-04-07 22:01:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.068149, 	6512.2, 	0.044258, 	1.041123%, 	0.360000%, 	0.681123%
2020-04-07 22:02:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	0.882955, 	6519.1, 	0.028294, 	0.934178%, 	0.360000%, 	0.574178%
2020-04-07 22:02:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	0.882955, 	6526.6, 	0.025555, 	0.818190%, 	0.360000%, 	0.458190%
2020-04-07 22:03:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6585.0, 	0.007547, 	6526.8, 	0.025555, 	0.891708%, 	0.360000%, 	0.531708%
2020-04-07 22:03:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6585.0, 	0.007547, 	6528.0, 	0.028831, 	0.873162%, 	0.360000%, 	0.513162%
2020-04-07 22:04:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6585.0, 	0.007547, 	6527.7, 	0.016316, 	0.877798%, 	0.360000%, 	0.517798%
2020-04-07 22:04:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6585.0, 	0.007547, 	6530.0, 	0.016316, 	0.842266%, 	0.360000%, 	0.482266%
2020-04-07 22:05:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6585.0, 	0.000653, 	6535.2, 	0.582157, 	0.762027%, 	0.360000%, 	0.402027%
2020-04-07 22:05:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6585.0, 	0.160659, 	6523.0, 	0.579351, 	0.950483%, 	0.360000%, 	0.590483%
2020-04-07 22:06:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6585.0, 	0.162929, 	6514.3, 	1.08368, 	1.085305%, 	0.360000%, 	0.725305%
2020-04-07 22:06:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6515.6, 	1.08368, 	0.988397%, 	0.360000%, 	0.628397%
2020-04-07 22:07:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6521.1, 	1.08368, 	0.903222%, 	0.360000%, 	0.543222%
2020-04-07 22:07:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6520.0, 	1.06993, 	0.920245%, 	0.360000%, 	0.560245%
2020-04-07 22:08:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6518.7, 	1.06993, 	0.940372%, 	0.360000%, 	0.580372%
2020-04-07 22:08:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6517.2, 	1.067047, 	0.963604%, 	0.360000%, 	0.603604%
2020-04-07 22:09:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6516.7, 	1.068568, 	0.971351%, 	0.360000%, 	0.611351%
2020-04-07 22:09:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6515.7, 	1.068568, 	0.986847%, 	0.360000%, 	0.626847%
2020-04-07 22:10:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6516.0, 	1.068568, 	0.982198%, 	0.360000%, 	0.622198%
2020-04-07 22:10:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6520.0, 	1.068568, 	0.920245%, 	0.360000%, 	0.560245%
2020-04-07 22:11:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6529.7, 	1.068568, 	0.770326%, 	0.360000%, 	0.410326%
2020-04-07 22:11:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6580.0, 	1.026745, 	6535.2, 	0.002387, 	0.685518%, 	0.360000%, 	0.325518%
2020-04-07 22:12:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6585.49, 	0.061333, 	6546.6, 	0.026003, 	0.594049%, 	0.360000%, 	0.234049%
2020-04-07 22:12:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6590.98, 	0.061282, 	6544.7, 	0.026865, 	0.707137%, 	0.360000%, 	0.347137%
2020-04-07 22:13:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6598.0, 	0.058413, 	6555.3, 	0.026865, 	0.651381%, 	0.360000%, 	0.291381%
2020-04-07 22:13:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6636.3, 	2e-06, 	6557.2, 	0.101062, 	1.206308%, 	0.360000%, 	0.846308%
2020-04-07 22:14:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6636.3, 	2e-06, 	6557.7, 	0.039901, 	1.198591%, 	0.360000%, 	0.838591%
2020-04-07 22:14:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6623.07, 	0.002373, 	6558.7, 	0.018002, 	0.981444%, 	0.360000%, 	0.621444%
2020-04-07 22:15:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6608.66, 	0.058323, 	6559.0, 	0.002379, 	0.757128%, 	0.360000%, 	0.397128%
2020-04-07 22:15:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6614.41, 	0.058273, 	6559.0, 	0.002379, 	0.844793%, 	0.360000%, 	0.484793%
2020-04-07 22:16:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6614.41, 	0.058273, 	6562.1, 	0.002379, 	0.797153%, 	0.360000%, 	0.437153%
2020-04-07 22:16:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6614.41, 	0.058273, 	6570.1, 	0.002379, 	0.674419%, 	0.360000%, 	0.314419%
2020-04-07 22:17:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6614.61, 	0.058271, 	6573.6, 	0.0104, 	0.623859%, 	0.360000%, 	0.263859%
2020-04-07 22:17:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6615.03, 	0.058267, 	6574.9, 	0.004368, 	0.610351%, 	0.360000%, 	0.250351%
2020-04-07 22:18:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6566.7, 	0.002373, 	0.979183%, 	0.360000%, 	0.619183%
2020-04-07 22:18:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6562.6, 	0.002373, 	1.042270%, 	0.360000%, 	0.682270%
2020-04-07 22:19:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6559.2, 	0.002373, 	1.094646%, 	0.360000%, 	0.734646%
2020-04-07 22:19:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6559.2, 	0.002373, 	1.094646%, 	0.360000%, 	0.734646%
