2020-04-08 23:58:18, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-08 23:58:33, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-08 23:58:48, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-08 23:59:03, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-08 23:59:18, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-08 23:59:33, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-08 23:59:48, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:00:03, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:00:18, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:00:33, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:00:48, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:01:03, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:01:18, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:01:33, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:01:48, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:02:03, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:02:18, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:02:33, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:02:48, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:03:03, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:03:18, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:03:33, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.18e-06, 	229.36238532, 	2.17e-06, 	49.69958495, 	0.460829%, 	0.340000%, 	0.120829%
2020-04-09 00:03:48, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.2e-06, 	1602.0, 	2.17e-06, 	49.69958495, 	1.382488%, 	0.340000%, 	1.042488%
2020-04-09 00:04:03, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.2e-06, 	1602.0, 	2.17e-06, 	49.69958495, 	1.382488%, 	0.340000%, 	1.042488%
2020-04-09 00:04:18, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.2e-06, 	1602.0, 	2.17e-06, 	49.69958495, 	1.382488%, 	0.340000%, 	1.042488%
2020-04-09 00:04:33, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.2e-06, 	1602.0, 	2.17e-06, 	49.69958495, 	1.382488%, 	0.340000%, 	1.042488%
2020-04-09 00:04:48, 	Bittrex     , 	Poloniex    , 	LOOM/BTC, 	2.2e-06, 	1602.0, 	2.17e-06, 	49.69958495, 	1.382488%, 	0.340000%, 	1.042488%
