2020-04-07 20:24:46, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00226144, 	0.69773084, 	0.00225113, 	57.3905218, 	0.457992%, 	0.340000%, 	0.117992%
2020-04-07 20:25:16, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00226178, 	34.12010807, 	0.00225113, 	57.3905218, 	0.473096%, 	0.340000%, 	0.133096%
2020-04-07 20:25:46, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00226233, 	0.70414894, 	0.00225113, 	57.3905218, 	0.497528%, 	0.340000%, 	0.157528%
2020-04-07 20:26:16, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00226285, 	0.69823961, 	0.00225113, 	57.3905218, 	0.520627%, 	0.340000%, 	0.180627%
2020-04-07 20:26:46, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00225519, 	33.89140821, 	0.00225113, 	57.3905218, 	0.180354%, 	0.340000%, 	-0.159646%
2020-04-07 20:30:06, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023, 	34.83720828, 	0.00225113, 	57.3905218, 	2.170910%, 	0.340000%, 	1.830910%
2020-04-07 20:30:36, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023, 	34.12010807, 	0.00225113, 	57.3905218, 	2.170910%, 	0.340000%, 	1.830910%
2020-04-07 20:31:06, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023, 	0.71564035, 	0.00225113, 	98.47944052, 	2.170910%, 	0.340000%, 	1.830910%
2020-04-07 20:31:36, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0022552, 	0.70204548, 	0.00225113, 	517.29065604, 	0.180798%, 	0.340000%, 	-0.159202%
2020-04-07 21:01:14, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023, 	37.87294076, 	0.00225113, 	513.47738353, 	2.170910%, 	0.340000%, 	1.830910%
2020-04-07 21:01:44, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023, 	38.35906769, 	0.00225113, 	513.47738353, 	2.170910%, 	0.340000%, 	1.830910%
2020-04-07 21:02:14, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023, 	0.70121191, 	0.00225113, 	513.47738353, 	2.170910%, 	0.340000%, 	1.830910%
2020-04-07 21:02:44, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227967, 	0.70944134, 	0.00225113, 	513.47738353, 	1.267808%, 	0.340000%, 	0.927808%
2020-04-07 21:03:14, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227984, 	0.69080189, 	0.00225113, 	513.47738353, 	1.275359%, 	0.340000%, 	0.935359%
2020-04-07 21:03:44, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00228009, 	0.68660106, 	0.00225113, 	513.47738353, 	1.286465%, 	0.340000%, 	0.946465%
2020-04-07 21:04:14, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00228028, 	0.70591369, 	0.00225113, 	513.47738353, 	1.294905%, 	0.340000%, 	0.954905%
2020-04-07 21:04:44, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00228697, 	35.71415335, 	0.00225113, 	513.47738353, 	1.592089%, 	0.340000%, 	1.252089%
2020-04-07 21:05:14, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00228722, 	0.71080231, 	0.00225113, 	513.47738353, 	1.603195%, 	0.340000%, 	1.263195%
2020-04-07 21:05:44, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	35.76410168, 	0.00225113, 	513.47738353, 	2.471648%, 	0.340000%, 	2.131648%
2020-04-07 21:07:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	35.87399192, 	0.00225113, 	378.07871264, 	2.471648%, 	0.340000%, 	2.131648%
2020-04-07 21:08:07, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	35.87399192, 	0.00225113, 	378.07871264, 	2.471648%, 	0.340000%, 	2.131648%
2020-04-07 21:08:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	0.70478289, 	0.00225113, 	378.07871264, 	2.471648%, 	0.340000%, 	2.131648%
2020-04-07 21:09:07, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	35.87399192, 	0.00225113, 	378.07871264, 	2.471648%, 	0.340000%, 	2.131648%
2020-04-07 21:09:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	0.71479131, 	0.00225113, 	378.07871264, 	2.471648%, 	0.340000%, 	2.131648%
2020-04-07 21:10:07, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230847, 	36.53886152, 	0.00225113, 	378.07871264, 	2.547165%, 	0.340000%, 	2.207165%
2020-04-07 21:10:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	0.69331136, 	0.00225113, 	378.07871264, 	2.772830%, 	0.340000%, 	2.432830%
2020-04-07 21:11:07, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	37.41384329, 	0.00225113, 	378.07871264, 	2.772830%, 	0.340000%, 	2.432830%
2020-04-07 21:11:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	36.70380469, 	0.00225113, 	378.07871264, 	2.772830%, 	0.340000%, 	2.432830%
2020-04-07 21:12:07, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	37.41370913, 	0.00225113, 	378.07871264, 	2.772830%, 	0.340000%, 	2.432830%
2020-04-07 21:12:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	0.70097517, 	0.00225113, 	362.81726367, 	2.772830%, 	0.340000%, 	2.432830%
2020-04-07 21:13:07, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	36.70380469, 	0.00225113, 	362.81726367, 	2.772830%, 	0.340000%, 	2.432830%
2020-04-07 21:13:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	0.69764849, 	0.00225113, 	362.81726367, 	2.772830%, 	0.340000%, 	2.432830%
2020-04-07 21:14:07, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231694, 	0.71004568, 	0.00225113, 	362.81726367, 	2.923421%, 	0.340000%, 	2.583421%
2020-04-07 21:14:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231694, 	0.70823779, 	0.00225113, 	362.81726367, 	2.923421%, 	0.340000%, 	2.583421%
2020-04-07 21:15:07, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231694, 	0.69064599, 	0.00225113, 	362.81726367, 	2.923421%, 	0.340000%, 	2.583421%
2020-04-07 21:15:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231694, 	8.94538638, 	0.00225109, 	36.70380469, 	2.925250%, 	0.340000%, 	2.585250%
2020-04-07 21:16:07, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231694, 	8.96583826, 	0.00225105, 	0.70542399, 	2.927078%, 	0.340000%, 	2.587078%
2020-04-07 21:16:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	9.65686468, 	0.00225113, 	93.26271416, 	2.772830%, 	0.340000%, 	2.432830%
2020-04-07 21:17:07, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	37.39560917, 	0.00225113, 	93.26271416, 	2.772830%, 	0.340000%, 	2.432830%
2020-04-07 21:17:37, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231682, 	0.71538732, 	0.00225113, 	93.26271416, 	2.918090%, 	0.340000%, 	2.578090%
2020-04-07 21:41:48, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0022597, 	40.39318866, 	0.00225118, 	658.51297385, 	0.378468%, 	0.340000%, 	0.038468%
2020-04-07 21:42:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00226011, 	40.30787326, 	0.00225118, 	656.28525368, 	0.396681%, 	0.340000%, 	0.056681%
2020-04-07 21:42:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00226048, 	41.13705265, 	0.00225118, 	656.28525368, 	0.413117%, 	0.340000%, 	0.073117%
2020-04-07 21:43:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0022608, 	41.15288026, 	0.00225118, 	656.28525368, 	0.427331%, 	0.340000%, 	0.087331%
2020-04-07 21:43:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00226102, 	0.70099906, 	0.00225118, 	656.28525368, 	0.437104%, 	0.340000%, 	0.097104%
2020-04-07 21:44:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00226138, 	40.35053058, 	0.00225118, 	656.28525368, 	0.453096%, 	0.340000%, 	0.113096%
2020-04-07 21:44:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0022616, 	0.6866479, 	0.00225118, 	656.28525368, 	0.462868%, 	0.340000%, 	0.122868%
2020-04-07 21:45:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00225771, 	0.70696504, 	0.00225118, 	656.28525368, 	0.290070%, 	0.340000%, 	-0.049930%
2020-04-07 22:20:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90192032, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:20:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:21:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:21:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:22:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:22:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:23:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:23:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:24:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:24:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:25:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:25:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:26:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:26:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194064, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:27:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.70596386, 	0.00225118, 	580.64893382, 	2.173083%, 	0.340000%, 	1.833083%
2020-04-07 22:27:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	38.3071218, 	0.00225116, 	7.41222387, 	2.173990%, 	0.340000%, 	1.833990%
2020-04-07 22:28:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	38.31165009, 	0.00225116, 	7.41222387, 	2.173990%, 	0.340000%, 	1.833990%
2020-04-07 22:28:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.70542814, 	0.00225116, 	7.41222387, 	2.173990%, 	0.340000%, 	1.833990%
2020-04-07 22:29:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.69733077, 	0.00225116, 	7.41222387, 	2.173990%, 	0.340000%, 	1.833990%
2020-04-07 22:29:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194499, 	0.00225116, 	7.41222387, 	2.173990%, 	0.340000%, 	1.833990%
2020-04-07 22:30:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194499, 	0.00225116, 	7.41222387, 	2.173990%, 	0.340000%, 	1.833990%
2020-04-07 22:30:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	0.90194499, 	0.00225116, 	7.41222387, 	2.173990%, 	0.340000%, 	1.833990%
2020-04-07 22:31:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	35.44299013, 	0.00225113, 	7.74370841, 	2.175352%, 	0.340000%, 	1.835352%
2020-04-07 22:31:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	35.44299013, 	0.00225113, 	7.74370841, 	2.175352%, 	0.340000%, 	1.835352%
2020-04-07 22:32:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	35.44299013, 	0.00225113, 	7.74370841, 	2.175352%, 	0.340000%, 	1.835352%
2020-04-07 22:32:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	35.44299013, 	0.00225113, 	7.74370841, 	2.175352%, 	0.340000%, 	1.835352%
2020-04-07 22:33:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	35.44299013, 	0.00225113, 	7.74370841, 	2.175352%, 	0.340000%, 	1.835352%
2020-04-07 22:33:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0023001, 	35.44299013, 	0.00225113, 	7.74370841, 	2.175352%, 	0.340000%, 	1.835352%
