2020-04-07 20:20:11, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	18309.76442554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:20:41, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	18309.76442554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:21:11, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	18309.76442554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:21:41, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	18309.76442554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:22:11, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	18309.76442554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:22:41, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	18309.76442554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:23:11, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	58333.00545112, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:23:41, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	58333.00545112, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:24:11, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	22517.83425112, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:24:41, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	22517.83425112, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:25:11, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	58333.00545112, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:25:41, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	22517.83425112, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:26:11, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	18309.76442554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:26:41, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	18309.76442554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:27:11, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	54124.93562554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:27:41, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	55124.93562554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:28:11, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	55124.93562554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:28:41, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	54124.93562554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:29:11, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	55700.93562554, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
