2020-04-08 15:09:10, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000773, 	172.9, 	0.0007688, 	103.957, 	0.546306%, 	0.410000%, 	0.136306%
2020-04-08 15:09:25, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000773, 	172.9, 	0.0007688, 	103.957, 	0.546306%, 	0.410000%, 	0.136306%
2020-04-08 15:09:40, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000773, 	172.9, 	0.0007688, 	103.957, 	0.546306%, 	0.410000%, 	0.136306%
2020-04-08 15:09:55, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000772, 	174.88, 	0.000768, 	103.957, 	0.520833%, 	0.410000%, 	0.110833%
2020-04-08 15:10:10, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000772, 	174.88, 	0.0007682, 	68.359, 	0.494663%, 	0.410000%, 	0.084663%
2020-04-08 15:10:25, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000772, 	174.88, 	0.000768, 	55.85, 	0.520833%, 	0.410000%, 	0.110833%
2020-04-08 15:10:40, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000772, 	174.88, 	0.0007693, 	55.85, 	0.350968%, 	0.410000%, 	-0.059032%
2020-04-08 17:35:37, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.0007916, 	100.0, 	0.555836%, 	0.410000%, 	0.145836%
2020-04-08 17:35:52, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.0007912, 	154.58814, 	0.606673%, 	0.410000%, 	0.196673%
2020-04-08 17:36:07, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.0007911, 	61.82071, 	0.619391%, 	0.410000%, 	0.209391%
2020-04-08 17:36:22, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.0007907, 	137.56897, 	0.670292%, 	0.410000%, 	0.260292%
2020-04-08 17:36:37, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.0007908, 	100.0, 	0.657562%, 	0.410000%, 	0.247562%
2020-04-08 17:36:52, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.0007905, 	123.26, 	0.695762%, 	0.410000%, 	0.285762%
2020-04-08 17:37:07, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.0007899, 	100.0, 	0.772250%, 	0.410000%, 	0.362250%
2020-04-08 17:37:22, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.0007897, 	331.61649, 	0.797771%, 	0.410000%, 	0.387771%
2020-04-08 17:37:37, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.0007897, 	118.84268, 	0.797771%, 	0.410000%, 	0.387771%
2020-04-08 17:37:52, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.0007905, 	100.0, 	0.695762%, 	0.410000%, 	0.285762%
2020-04-08 17:38:07, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.000791, 	95.42248, 	0.632111%, 	0.410000%, 	0.222111%
2020-04-08 17:38:22, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.000791, 	72.16248, 	0.632111%, 	0.410000%, 	0.222111%
2020-04-08 17:38:37, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.966, 	0.000791, 	72.16248, 	0.632111%, 	0.410000%, 	0.222111%
2020-04-08 17:38:52, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000794, 	31.4, 	0.000791, 	72.16248, 	0.379267%, 	0.410000%, 	-0.030733%
2020-04-08 17:56:18, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	0.3, 	0.0007913, 	148.03427, 	0.593959%, 	0.410000%, 	0.183959%
2020-04-08 17:56:33, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000795, 	22.0, 	0.0007911, 	137.74271, 	0.492984%, 	0.410000%, 	0.082984%
2020-04-08 17:56:48, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000795, 	22.0, 	0.000791, 	40.26725, 	0.505689%, 	0.410000%, 	0.095689%
2020-04-08 17:57:03, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000795, 	0.3, 	0.0007906, 	100.0, 	0.556539%, 	0.410000%, 	0.146539%
2020-04-08 17:57:18, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000795, 	0.3, 	0.0007906, 	100.0, 	0.556539%, 	0.410000%, 	0.146539%
2020-04-08 17:57:33, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000795, 	0.6, 	0.0007906, 	100.0, 	0.556539%, 	0.410000%, 	0.146539%
2020-04-08 17:57:48, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000795, 	26.4, 	0.0007905, 	100.0, 	0.569260%, 	0.410000%, 	0.159260%
2020-04-08 17:58:03, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000795, 	26.4, 	0.0007911, 	21.39909, 	0.492984%, 	0.410000%, 	0.082984%
2020-04-08 17:58:18, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000795, 	26.4, 	0.0007916, 	27.17526, 	0.429510%, 	0.410000%, 	0.019510%
2020-04-08 17:58:33, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	19.0, 	0.0007917, 	1200.0, 	0.543135%, 	0.410000%, 	0.133135%
2020-04-08 17:58:48, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	19.0, 	0.000792, 	281.85404, 	0.505051%, 	0.410000%, 	0.095051%
2020-04-08 17:59:03, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	19.0, 	0.0007923, 	68.45888, 	0.466995%, 	0.410000%, 	0.056995%
2020-04-08 17:59:18, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	19.0, 	0.0007923, 	156.15218, 	0.466995%, 	0.410000%, 	0.056995%
2020-04-08 17:59:33, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	19.0, 	0.0007921, 	88.17, 	0.492362%, 	0.410000%, 	0.082362%
2020-04-08 17:59:48, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	19.0, 	0.0007922, 	325.90003, 	0.479677%, 	0.410000%, 	0.069677%
2020-04-08 18:00:03, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	19.0, 	0.0007924, 	1200.0, 	0.454316%, 	0.410000%, 	0.044316%
2020-04-08 18:00:18, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	19.0, 	0.0007923, 	314.43828, 	0.466995%, 	0.410000%, 	0.056995%
2020-04-08 18:00:33, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000796, 	19.0, 	0.0007922, 	100.0, 	0.479677%, 	0.410000%, 	0.069677%
2020-04-08 18:00:48, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000795, 	26.1, 	0.0007921, 	1200.0, 	0.366115%, 	0.410000%, 	-0.043885%
2020-04-08 18:21:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	46.231, 	0.0007952, 	675.79136, 	0.729376%, 	0.410000%, 	0.319376%
2020-04-08 18:22:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	50.4, 	0.0007946, 	28.53764, 	0.805437%, 	0.410000%, 	0.395437%
2020-04-08 18:22:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	78.191, 	0.0007952, 	550.0, 	0.729376%, 	0.410000%, 	0.319376%
2020-04-08 18:22:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	78.191, 	0.0007952, 	710.57923, 	0.729376%, 	0.410000%, 	0.319376%
2020-04-08 18:22:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	78.191, 	0.0007952, 	675.79923, 	0.729376%, 	0.410000%, 	0.319376%
2020-04-08 18:23:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	78.191, 	0.000796, 	0.05024, 	0.628141%, 	0.410000%, 	0.218141%
2020-04-08 18:23:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	78.191, 	0.0007959, 	13.54278, 	0.640784%, 	0.410000%, 	0.230784%
2020-04-08 18:23:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	78.191, 	0.0007958, 	1150.0, 	0.653431%, 	0.410000%, 	0.243431%
2020-04-08 18:23:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	78.191, 	0.0007953, 	1150.0, 	0.716711%, 	0.410000%, 	0.306711%
2020-04-08 18:24:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	78.191, 	0.0007952, 	47.41347, 	0.729376%, 	0.410000%, 	0.319376%
2020-04-08 18:24:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	78.191, 	0.0007948, 	125.85908, 	0.780070%, 	0.410000%, 	0.370070%
2020-04-08 18:24:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	78.191, 	0.0007944, 	567.87927, 	0.830816%, 	0.410000%, 	0.420816%
2020-04-08 18:24:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	74.1, 	0.0007948, 	59.89979, 	0.780070%, 	0.410000%, 	0.370070%
2020-04-08 18:25:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	74.1, 	0.0007948, 	1184.78, 	0.780070%, 	0.410000%, 	0.370070%
2020-04-08 18:25:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	74.1, 	0.0007946, 	1150.0, 	0.805437%, 	0.410000%, 	0.395437%
2020-04-08 18:25:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	58.391, 	0.000795, 	161.74982, 	0.754717%, 	0.410000%, 	0.344717%
2020-04-08 18:25:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	83.791, 	0.0007949, 	550.0, 	0.767392%, 	0.410000%, 	0.357392%
2020-04-08 18:26:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	83.791, 	0.0007948, 	125.85618, 	0.780070%, 	0.410000%, 	0.370070%
2020-04-08 18:26:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	83.791, 	0.0007948, 	125.85618, 	0.780070%, 	0.410000%, 	0.370070%
2020-04-08 18:26:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	58.391, 	0.0007943, 	71.94864, 	0.843510%, 	0.410000%, 	0.433510%
2020-04-08 18:26:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	28.361, 	0.0007934, 	1262.72254, 	0.831863%, 	0.410000%, 	0.421863%
2020-04-08 18:27:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	28.361, 	0.0007932, 	47.98643, 	0.857287%, 	0.410000%, 	0.447287%
2020-04-08 18:27:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	28.361, 	0.0007927, 	47.29246, 	0.920903%, 	0.410000%, 	0.510903%
2020-04-08 18:27:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	28.361, 	0.0007927, 	22.40984, 	0.920903%, 	0.410000%, 	0.510903%
2020-04-08 18:27:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	28.361, 	0.0007928, 	1150.0, 	0.908174%, 	0.410000%, 	0.498174%
2020-04-08 18:28:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	28.361, 	0.0007933, 	42.49303, 	0.844573%, 	0.410000%, 	0.434573%
2020-04-08 18:28:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	28.361, 	0.000793, 	48.69465, 	0.882724%, 	0.410000%, 	0.472724%
2020-04-08 18:28:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.000792, 	69.88544, 	1.010101%, 	0.410000%, 	0.600101%
2020-04-08 18:28:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.000792, 	30.60627, 	1.010101%, 	0.410000%, 	0.600101%
2020-04-08 18:29:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	22.261, 	0.0007926, 	126.21059, 	0.933636%, 	0.410000%, 	0.523636%
2020-04-08 18:29:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	58.391, 	0.0007926, 	146.13459, 	1.059803%, 	0.410000%, 	0.649803%
2020-04-08 18:29:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	58.391, 	0.0007939, 	62.31934, 	0.894319%, 	0.410000%, 	0.484319%
2020-04-08 18:29:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	76.891, 	0.0007938, 	1376.02836, 	0.907029%, 	0.410000%, 	0.497029%
2020-04-08 18:30:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007934, 	1150.0, 	0.957903%, 	0.410000%, 	0.547903%
2020-04-08 18:30:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007934, 	26.33222, 	0.957903%, 	0.410000%, 	0.547903%
2020-04-08 18:30:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007945, 	100.0, 	0.818125%, 	0.410000%, 	0.408125%
2020-04-08 18:30:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007945, 	65.51967, 	0.818125%, 	0.410000%, 	0.408125%
2020-04-08 18:31:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007945, 	65.51967, 	0.818125%, 	0.410000%, 	0.408125%
2020-04-08 18:31:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007944, 	21.44051, 	0.830816%, 	0.410000%, 	0.420816%
2020-04-08 18:31:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007941, 	65.51967, 	0.868908%, 	0.410000%, 	0.458908%
2020-04-08 18:31:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007939, 	84.54425, 	0.894319%, 	0.410000%, 	0.484319%
2020-04-08 18:32:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007937, 	19.7458, 	0.919743%, 	0.410000%, 	0.509743%
2020-04-08 18:32:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007936, 	34.78, 	0.932460%, 	0.410000%, 	0.522460%
2020-04-08 18:32:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007932, 	100.0, 	0.983359%, 	0.410000%, 	0.573359%
2020-04-08 18:32:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007928, 	1169.29075, 	1.034309%, 	0.410000%, 	0.624309%
2020-04-08 18:33:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007926, 	168.7647, 	1.059803%, 	0.410000%, 	0.649803%
2020-04-08 18:33:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007926, 	168.7647, 	1.059803%, 	0.410000%, 	0.649803%
2020-04-08 18:33:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007926, 	168.7647, 	1.059803%, 	0.410000%, 	0.649803%
2020-04-08 18:33:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007925, 	32.77507, 	1.072555%, 	0.410000%, 	0.662555%
2020-04-08 18:34:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007925, 	32.77507, 	1.072555%, 	0.410000%, 	0.662555%
2020-04-08 18:34:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007925, 	13.65709, 	1.072555%, 	0.410000%, 	0.662555%
2020-04-08 18:34:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	80.725, 	0.0007925, 	12.07324, 	0.946372%, 	0.410000%, 	0.536372%
2020-04-08 18:34:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	80.725, 	0.0007917, 	10.50843, 	1.048377%, 	0.410000%, 	0.638377%
2020-04-08 18:35:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	61.567, 	0.0007917, 	40.85842, 	1.048377%, 	0.410000%, 	0.638377%
2020-04-08 18:35:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	22.261, 	0.0007926, 	86.26119, 	0.933636%, 	0.410000%, 	0.523636%
2020-04-08 18:35:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	22.261, 	0.0007925, 	1161.37016, 	0.946372%, 	0.410000%, 	0.536372%
2020-04-08 18:35:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	22.261, 	0.0007924, 	700.0, 	0.959112%, 	0.410000%, 	0.549112%
2020-04-08 18:36:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	22.261, 	0.0007922, 	1250.0, 	0.984600%, 	0.410000%, 	0.574600%
2020-04-08 18:36:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	22.261, 	0.0007921, 	779.1665, 	0.997349%, 	0.410000%, 	0.587349%
2020-04-08 18:36:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	80.725, 	0.0007919, 	179.1665, 	1.022856%, 	0.410000%, 	0.612856%
2020-04-08 18:36:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	80.725, 	0.0007918, 	382.67852, 	1.035615%, 	0.410000%, 	0.625615%
2020-04-08 18:37:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.0007913, 	149.57227, 	1.099457%, 	0.410000%, 	0.689457%
2020-04-08 18:37:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	9.167, 	0.0007913, 	149.57227, 	1.099457%, 	0.410000%, 	0.689457%
2020-04-08 18:37:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.0007913, 	100.0, 	1.099457%, 	0.410000%, 	0.689457%
2020-04-08 18:37:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	31.061, 	0.0007918, 	23.04504, 	1.035615%, 	0.410000%, 	0.625615%
2020-04-08 18:38:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	31.061, 	0.0007919, 	100.0, 	1.022856%, 	0.410000%, 	0.612856%
2020-04-08 18:38:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	26.967, 	0.0007918, 	215.84171, 	1.035615%, 	0.410000%, 	0.625615%
2020-04-08 18:38:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.0007916, 	22.63831, 	1.061142%, 	0.410000%, 	0.651142%
2020-04-08 18:38:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	59.425, 	0.0007917, 	121.67445, 	1.048377%, 	0.410000%, 	0.638377%
2020-04-08 18:39:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.0007917, 	100.0, 	1.048377%, 	0.410000%, 	0.638377%
2020-04-08 18:39:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.0007912, 	118.75544, 	1.112235%, 	0.410000%, 	0.702235%
2020-04-08 18:39:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.000791, 	79.59815, 	1.137800%, 	0.410000%, 	0.727800%
2020-04-08 18:39:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.0007905, 	100.0, 	1.201771%, 	0.410000%, 	0.791771%
2020-04-08 18:40:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.0007909, 	83.09522, 	1.150588%, 	0.410000%, 	0.740588%
2020-04-08 18:40:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.0007909, 	51.27525, 	1.150588%, 	0.410000%, 	0.740588%
2020-04-08 18:40:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	0.961, 	0.0007914, 	12.4486, 	1.086682%, 	0.410000%, 	0.676682%
2020-04-08 18:40:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	23.461, 	0.0007919, 	7.15773, 	1.022856%, 	0.410000%, 	0.612856%
2020-04-08 18:41:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	23.461, 	0.0007919, 	7.15773, 	1.022856%, 	0.410000%, 	0.612856%
2020-04-08 18:41:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	81.925, 	0.0007933, 	7.55936, 	0.844573%, 	0.410000%, 	0.434573%
2020-04-08 18:41:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	76.067, 	0.0007928, 	11.76759, 	0.908174%, 	0.410000%, 	0.498174%
2020-04-08 18:41:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	76.067, 	0.000793, 	133.46002, 	0.882724%, 	0.410000%, 	0.472724%
2020-04-08 18:42:00, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	79.291, 	0.0007928, 	8.71561, 	1.034309%, 	0.410000%, 	0.624309%
2020-04-08 18:42:15, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000801, 	79.291, 	0.0007928, 	8.71561, 	1.034309%, 	0.410000%, 	0.624309%
2020-04-08 18:42:30, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	81.925, 	0.0007927, 	1173.06625, 	0.920903%, 	0.410000%, 	0.510903%
2020-04-08 18:42:45, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.0008, 	81.925, 	0.0007924, 	46.99271, 	0.959112%, 	0.410000%, 	0.549112%
