2020-04-08 12:59:56, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.17e-06, 	1e-08, 	2.16e-06, 	18457.77, 	0.462963%, 	0.350000%, 	0.112963%
2020-04-08 13:00:11, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.17e-06, 	1e-08, 	2.16e-06, 	18457.77, 	0.462963%, 	0.350000%, 	0.112963%
2020-04-08 13:00:26, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.17e-06, 	1e-08, 	2.17e-06, 	18457.77, 	0.000000%, 	0.350000%, 	-0.350000%
2020-04-10 14:55:17, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.11e-06, 	693.32863345, 	2.1e-06, 	2909.0, 	0.476190%, 	0.350000%, 	0.126190%
2020-04-10 14:55:33, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.11e-06, 	693.32863345, 	2.1e-06, 	2909.0, 	0.476190%, 	0.350000%, 	0.126190%
2020-04-10 14:55:48, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.11e-06, 	693.32863345, 	2.1e-06, 	2909.0, 	0.476190%, 	0.350000%, 	0.126190%
2020-04-10 14:56:03, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.11e-06, 	693.32863345, 	2.1e-06, 	2909.0, 	0.476190%, 	0.350000%, 	0.126190%
2020-04-10 14:56:18, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.11e-06, 	693.32863345, 	2.1e-06, 	2909.0, 	0.476190%, 	0.350000%, 	0.126190%
2020-04-10 14:56:33, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.11e-06, 	693.32863345, 	2.1e-06, 	2909.0, 	0.476190%, 	0.350000%, 	0.126190%
2020-04-10 14:56:48, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.11e-06, 	693.32863345, 	2.1e-06, 	2909.0, 	0.476190%, 	0.350000%, 	0.126190%
2020-04-10 14:57:03, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.11e-06, 	693.32863345, 	2.1e-06, 	2909.0, 	0.476190%, 	0.350000%, 	0.126190%
2020-04-10 14:57:18, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.11e-06, 	693.32863345, 	2.1e-06, 	2909.0, 	0.476190%, 	0.350000%, 	0.126190%
2020-04-10 14:57:33, 	Bittrex     , 	Binance     , 	LOOM/BTC, 	2.11e-06, 	693.32863345, 	2.1e-06, 	2909.0, 	0.476190%, 	0.350000%, 	0.126190%
