2020-04-08 18:53:35, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392523, 	335.88346639, 	0.683179%, 	0.350000%, 	0.333179%
2020-04-08 18:53:50, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034161, 	59.088, 	0.0339209, 	66.28403, 	0.707823%, 	0.350000%, 	0.357823%
2020-04-08 18:54:05, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.0339143, 	66.28403, 	0.715627%, 	0.350000%, 	0.365627%
2020-04-08 18:54:20, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390727, 	253.41948008, 	0.736509%, 	0.350000%, 	0.386509%
2020-04-08 18:54:35, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.0339002, 	66.28403, 	0.757518%, 	0.350000%, 	0.407518%
2020-04-08 18:54:50, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389871, 	97.13944, 	0.761946%, 	0.350000%, 	0.411946%
2020-04-08 18:55:05, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389556, 	97.53512, 	0.771310%, 	0.350000%, 	0.421310%
2020-04-08 18:55:20, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389556, 	97.53512, 	0.771310%, 	0.350000%, 	0.421310%
2020-04-08 18:55:35, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389554, 	97.04052, 	0.771370%, 	0.350000%, 	0.421370%
2020-04-08 18:55:50, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.03416, 	59.09, 	0.03410714, 	66.51241, 	0.154982%, 	0.350000%, 	-0.195018%
2020-04-08 19:21:08, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034173, 	59.067, 	0.03393368, 	66.46818, 	0.705258%, 	0.350000%, 	0.355258%
2020-04-08 19:21:23, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034175, 	59.064, 	0.03393101, 	97.63404, 	0.719077%, 	0.350000%, 	0.369077%
2020-04-08 19:21:38, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034175, 	59.064, 	0.03392748, 	66.46818, 	0.729556%, 	0.350000%, 	0.379556%
2020-04-08 19:21:53, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034177, 	59.06, 	0.03392479, 	66.46818, 	0.743439%, 	0.350000%, 	0.393439%
2020-04-08 19:22:08, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034179, 	59.057, 	0.03391206, 	66.46818, 	0.787154%, 	0.350000%, 	0.437154%
2020-04-08 19:22:23, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034179, 	59.057, 	0.03390851, 	66.46818, 	0.797705%, 	0.350000%, 	0.447705%
2020-04-08 19:22:38, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034181, 	59.053, 	0.03396114, 	66.46818, 	0.647387%, 	0.350000%, 	0.297387%
2020-04-08 19:22:53, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034184, 	1.95, 	0.03394396, 	66.46818, 	0.707166%, 	0.350000%, 	0.357166%
2020-04-08 19:23:08, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034184, 	1.95, 	0.0339289, 	98.62324, 	0.751866%, 	0.350000%, 	0.401866%
2020-04-08 19:23:23, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034184, 	1.95, 	0.0339176, 	97.73296, 	0.785433%, 	0.350000%, 	0.435433%
2020-04-08 19:23:38, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034184, 	1.95, 	0.03391234, 	66.46818, 	0.801065%, 	0.350000%, 	0.451065%
2020-04-08 19:23:53, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034184, 	1.95, 	0.03390772, 	66.46818, 	0.814800%, 	0.350000%, 	0.464800%
2020-04-08 19:24:08, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034184, 	1.95, 	0.03389823, 	384.51497557, 	0.843023%, 	0.350000%, 	0.493023%
2020-04-08 19:24:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388867, 	253.3546901, 	0.791799%, 	0.350000%, 	0.441799%
2020-04-08 19:24:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388254, 	66.46818, 	0.810034%, 	0.350000%, 	0.460034%
2020-04-08 19:24:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388251, 	98.32648, 	0.810123%, 	0.350000%, 	0.460123%
2020-04-08 19:25:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392304, 	66.46818, 	0.689679%, 	0.350000%, 	0.339679%
2020-04-08 19:25:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390303, 	253.21002926, 	0.749107%, 	0.350000%, 	0.399107%
2020-04-08 19:25:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390249, 	66.46818, 	0.750712%, 	0.350000%, 	0.400712%
2020-04-08 19:25:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390248, 	164.79466, 	0.750742%, 	0.350000%, 	0.400742%
2020-04-08 19:26:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390248, 	164.79466, 	0.750742%, 	0.350000%, 	0.400742%
2020-04-08 19:26:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390248, 	98.32648, 	0.750742%, 	0.350000%, 	0.400742%
2020-04-08 19:26:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390071, 	96.74376, 	0.756002%, 	0.350000%, 	0.406002%
2020-04-08 19:26:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389552, 	97.13944, 	0.771429%, 	0.350000%, 	0.421429%
2020-04-08 19:27:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338873, 	38.37263993, 	0.795873%, 	0.350000%, 	0.445873%
2020-04-08 19:27:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388588, 	98.52432, 	0.800097%, 	0.350000%, 	0.450097%
2020-04-08 19:27:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388953, 	66.33671, 	0.789241%, 	0.350000%, 	0.439241%
2020-04-08 19:27:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034159, 	59.092, 	0.03388968, 	96.84268, 	0.794696%, 	0.350000%, 	0.444696%
2020-04-08 19:28:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034159, 	59.092, 	0.03388968, 	96.84268, 	0.794696%, 	0.350000%, 	0.444696%
2020-04-08 19:28:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388887, 	98.62324, 	0.791204%, 	0.350000%, 	0.441204%
2020-04-08 19:28:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388624, 	97.04052, 	0.799026%, 	0.350000%, 	0.449026%
2020-04-08 19:28:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388986, 	253.18788292, 	0.788259%, 	0.350000%, 	0.438259%
2020-04-08 19:29:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388864, 	66.33671, 	0.791888%, 	0.350000%, 	0.441888%
2020-04-08 19:29:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388624, 	66.33671, 	0.799026%, 	0.350000%, 	0.449026%
2020-04-08 19:29:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388673, 	97.4362, 	0.797569%, 	0.350000%, 	0.447569%
2020-04-08 19:29:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388318, 	98.52432, 	0.808130%, 	0.350000%, 	0.458130%
2020-04-08 19:30:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387837, 	253.22657068, 	0.822442%, 	0.350000%, 	0.472442%
2020-04-08 19:30:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.033868, 	253.34352887, 	0.853313%, 	0.350000%, 	0.503313%
2020-04-08 19:30:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386773, 	96.84268, 	0.854117%, 	0.350000%, 	0.504117%
2020-04-08 19:30:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338601, 	66.33671, 	0.876843%, 	0.350000%, 	0.526843%
2020-04-08 19:31:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385453, 	98.22756, 	0.893440%, 	0.350000%, 	0.543440%
2020-04-08 19:31:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034167, 	10.282, 	0.03384652, 	253.50483866, 	0.946862%, 	0.350000%, 	0.596862%
2020-04-08 19:31:39, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034168, 	1.947, 	0.03384011, 	66.33671, 	0.968939%, 	0.350000%, 	0.618939%
2020-04-08 19:31:54, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034169, 	59.074, 	0.03383302, 	66.33671, 	0.993054%, 	0.350000%, 	0.643054%
2020-04-08 19:32:09, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383221, 	97.04052, 	0.960002%, 	0.350000%, 	0.610002%
2020-04-08 19:32:24, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03404432, 	66.33671, 	0.330980%, 	0.350000%, 	-0.019020%
2020-04-08 19:32:52, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394208, 	205.64189186, 	0.633196%, 	0.350000%, 	0.283196%
2020-04-08 19:33:07, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390216, 	23.39135426, 	0.751693%, 	0.350000%, 	0.401693%
2020-04-08 19:33:22, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389141, 	276.96088135, 	0.783650%, 	0.350000%, 	0.433650%
2020-04-08 19:33:37, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338582, 	253.44026892, 	0.882504%, 	0.350000%, 	0.532504%
2020-04-08 19:33:52, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03384894, 	66.33671, 	0.910102%, 	0.350000%, 	0.560102%
2020-04-08 19:34:07, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385817, 	97.83188, 	0.882593%, 	0.350000%, 	0.532593%
2020-04-08 19:34:22, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03410286, 	252.9309764, 	0.158755%, 	0.350000%, 	-0.191245%
2020-04-08 19:45:43, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034174, 	1.947, 	0.03383702, 	66.30035, 	0.995891%, 	0.350000%, 	0.645891%
2020-04-08 19:45:58, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034174, 	1.947, 	0.03383423, 	66.30035, 	1.004220%, 	0.350000%, 	0.654220%
2020-04-08 19:46:13, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03410286, 	2.68748606, 	0.158755%, 	0.350000%, 	-0.191245%
2020-04-08 19:50:48, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380419, 	98.62324, 	1.043687%, 	0.350000%, 	0.693687%
2020-04-08 19:51:03, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380419, 	98.62324, 	1.043687%, 	0.350000%, 	0.693687%
2020-04-08 19:51:18, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03384508, 	66.37741, 	0.921611%, 	0.350000%, 	0.571611%
2020-04-08 19:51:33, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03382191, 	66.37741, 	0.990748%, 	0.350000%, 	0.640748%
2020-04-08 19:51:48, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03381656, 	66.37741, 	1.006726%, 	0.350000%, 	0.656726%
2020-04-08 19:52:03, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03381655, 	97.9308, 	1.006756%, 	0.350000%, 	0.656756%
2020-04-08 19:52:18, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03381782, 	66.37741, 	1.002962%, 	0.350000%, 	0.652962%
2020-04-08 19:52:33, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380997, 	253.8731752, 	1.026413%, 	0.350000%, 	0.676413%
2020-04-08 19:52:48, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380405, 	66.37741, 	1.044106%, 	0.350000%, 	0.694106%
2020-04-08 19:53:03, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380995, 	253.82374219, 	1.026473%, 	0.350000%, 	0.676473%
2020-04-08 19:53:18, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338088, 	98.4254, 	1.029909%, 	0.350000%, 	0.679909%
2020-04-08 19:53:33, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338088, 	98.4254, 	1.029909%, 	0.350000%, 	0.679909%
2020-04-08 19:53:48, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380853, 	97.63404, 	1.030716%, 	0.350000%, 	0.680716%
2020-04-08 19:54:03, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380851, 	97.33728, 	1.030776%, 	0.350000%, 	0.680776%
2020-04-08 19:54:18, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380849, 	96.9416, 	1.030836%, 	0.350000%, 	0.680836%
2020-04-08 19:54:33, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385957, 	253.62951843, 	0.878422%, 	0.350000%, 	0.528422%
2020-04-08 19:54:48, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03384119, 	66.37741, 	0.933212%, 	0.350000%, 	0.583212%
2020-04-08 19:55:03, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383023, 	66.37741, 	0.965911%, 	0.350000%, 	0.615911%
2020-04-08 19:55:18, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03382954, 	97.33728, 	0.967971%, 	0.350000%, 	0.617971%
2020-04-08 19:55:33, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338293, 	98.4254, 	0.968687%, 	0.350000%, 	0.618687%
2020-04-08 19:55:48, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03382863, 	66.37741, 	0.970687%, 	0.350000%, 	0.620687%
2020-04-08 19:56:03, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383402, 	66.37741, 	0.954601%, 	0.350000%, 	0.604601%
2020-04-08 19:56:18, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383249, 	97.9308, 	0.959167%, 	0.350000%, 	0.609167%
