2020-04-09 06:47:09, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.95e-06, 	0.55360549, 	1.91e-06, 	185917.0, 	2.094241%, 	0.350000%, 	1.744241%
2020-04-09 06:47:24, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.95e-06, 	0.55360549, 	1.91e-06, 	211401.0, 	2.094241%, 	0.350000%, 	1.744241%
2020-04-09 06:47:39, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.95e-06, 	0.55360549, 	1.91e-06, 	211401.0, 	2.094241%, 	0.350000%, 	1.744241%
2020-04-09 06:47:54, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.95e-06, 	0.55360549, 	1.91e-06, 	216407.0, 	2.094241%, 	0.350000%, 	1.744241%
2020-04-09 06:48:09, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.95e-06, 	0.55360549, 	1.91e-06, 	216407.0, 	2.094241%, 	0.350000%, 	1.744241%
2020-04-09 06:48:24, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.95e-06, 	0.55360549, 	1.91e-06, 	216407.0, 	2.094241%, 	0.350000%, 	1.744241%
2020-04-09 06:48:39, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	21472.0, 	1.91e-06, 	216407.0, 	-1.047120%, 	0.350000%, 	-1.397120%
2020-04-09 14:55:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	185181.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:56:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	185181.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:56:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	185165.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:56:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	185165.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:56:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	185165.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:57:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	185165.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:57:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	185165.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:57:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	185165.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:57:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	185165.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:58:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	184382.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:58:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	184382.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:58:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	184382.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:58:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	184489.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:59:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	184489.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:59:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	184596.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:59:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	184596.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 14:59:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	171093.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:00:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	174607.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:00:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	174607.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:00:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	174478.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:00:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	174478.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:01:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	174478.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:01:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	174478.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:01:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	197536.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:01:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	197536.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:02:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	171552.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:02:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175052.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:02:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:02:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:03:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:03:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:03:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:03:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:04:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	180926.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:04:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	180926.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:04:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	180926.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:04:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	193071.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:05:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:05:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:05:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:05:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:06:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:06:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:06:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:06:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:07:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:07:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:07:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:07:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:08:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	131183.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:08:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:08:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	171432.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:08:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	19822.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:09:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	212633.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:09:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	212633.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:09:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	22481.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:09:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	25981.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:10:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	24577.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:10:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	24577.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:10:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	24577.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:10:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	215646.0, 	0.531915%, 	0.350000%, 	0.181915%
